RTO(Jacobson)       RTO(Jacobson/Karels)     RTTs           Desviación     M
148                 222                      74             37             74
149,25              190,63                   74,625         29             79
150,09              165,42                   75,047         22,594         78
150,83              146,15                   75,416         17,684         78
152,48              135,87                   76,239         14,909         82
152,17              122,05                   76,084         11,491         75
154,65              121,71                   77,324         11,097         86
154,32              111,77                   77,158         8,654          76
156,53              113,07                   78,263         8,7009         86
157,21              107,44                   78,605         7,2099         81
157,81              102,93                   78,905         6,006          81
159,33              103,78                   79,667         6,0283         85
159,42              98,127                   79,708         4,6046         80
158,99              95,017                   79,495         3,8805         78
158,37              93,319                   79,183         3,5341         77
159,07              92,954                   79,535         3,3548         82
159,19              90,123                   79,593         2,6323         80
158,29              90,634                   79,144         2,8726         76
158,5               88,725                   79,251         2,3684         80
158,94              88,324                   79,47          2,2135         81
158,32              88,271                   79,161         2,2776         77
158,53              86,938                   79,266         1,9179         80
159,97              91,471                   79,983         2,872          85
159,72              89,458                   79,86          2,3996         79
158,25              92,186                   79,127         3,2647         74
159,47              94,403                   79,736         3,6667         84
158,04              95,756                   79,019         4,1841         74
158,03              91,589                   79,017         3,1429         79
158,28              89,552                   79,14          2,603          80
159,24              91,291                   79,622         2,9173         83
159,34              88,799                   79,67          2,2824         80
159,17              87,102                   79,586         1,8792         79
160,53              91,314                   80,263         2,7629         85
159,71              91,406                   79,855         2,8878         77
159                 91,016                   79,498         2,8796         77
160,37              94,326                   80,186         3,5352         85
160,32              90,954                   80,162         2,6978         80
160,78              90,323                   80,392         2,4827         82
162,44              95,274                   81,218         3,514          87
162,63              92,64                    81,316         2,831          82
162,05              91,835                   81,026         2,7022         79
162,55              91,353                   81,273         2,5201         83
161,73              91,697                   80,864         2,7083         78
161,51              89,745                   80,756         2,2472         80
160,32              91,659                   80,161         2,8744         76
158,28              95,926                   79,141         4,1962         72
160,25              100,57                   80,124         5,1118         87
160,47              96,445                   80,233         4,053          81
158,91              97,846                   79,454         4,598          74
157,79              97,145                   78,897         4,562          75
158,82              97,199                   79,41          4,4472         83
158,72              93,111                   79,359         3,4379         79
157,13              95,237                   78,564         4,1682         73
156,99              91,562                   78,493         3,2671         78
157,61              91,115                   78,807         3,077          81
160,16              99,505                   80,081         4,856          89
160,39              95,683                   80,196         3,8718         81
160,84              93,841                   80,421         3,3549         82
160,99              91,137                   80,494         2,6608         81
160,36              90,658                   80,182         2,619          78
160,82              90,084                   80,409         2,4188         82
161,22              89,455                   80,608         2,2118         82
161,31              87,684                   80,657         1,7568         81
160,65              88,252                   80,325         1,9819         78
160,82              87,03                    80,409         1,6552         81
160,97              86,039                   80,483         1,3891         81
160,85              85,073                   80,423         1,1626         80
162,49              91,31                    81,245         2,5162         87
162,93              90,768                   81,464         2,326          83
162,06              91,473                   81,031         2,6105         78
161,05              92,39                    80,527         2,9657         77
160,67              90,761                   80,336         2,6061         79
159,34              92,824                   79,669         3,2887         75
159,92              92,157                   79,961         3,0492         82
159,93              89,152                   79,966         2,2967         80
160,19              88,019                   80,095         1,9811         81
159,42              88,746                   79,708         2,2596         77
159,24              87,106                   79,62          1,8717         79
158,83              86,652                   79,417         1,8087         78
159,23              86,624                   79,615         1,7522         81
159,83              87,555                   79,913         1,9104         82
159,85              85,742                   79,924         1,4545         80
158,37              89,471                   79,183         2,5719         74
157,82              88,81                    78,911         2,4748         77
157,34              88,007                   78,672         2,3337         77
157,18              86,261                   78,588         1,9182         78
158,28              89,306                   79,139         2,5417         83
158,49              87,733                   79,247         2,1215         80
160,18              93,209                   80,091         3,2794         86
160,41              90,952                   80,205         2,6868         81
160,61              89,16                    80,304         2,2139         81
160,28              88,087                   80,141         1,9865         79
160,25              86,224                   80,123         1,5251         80
159,97              85,682                   79,983         1,4247         79
159,22              86,867                   79,61          1,8143         77
159,32              85,492                   79,659         1,4582         80
158,9               85,485                   79,451         1,5083         78
157,54              88,747                   78,77          2,4941         74
156,85              88,676                   78,424         2,5631         76
157,74              90,136                   78,871         2,8164         82
148,27              120,46                   74,137         11,58          41
139,74              138,75                   69,87          17,219         40
139,02              124,04                   69,511         13,632         67
137,14              116,98                   68,572         12,102         62
132                 122,88                   66,001         14,219         48
127                 126,16                   63,501         15,665         46
130,88              127,93                   65,438         15,623         79
140,77              156,82                   70,383         21,608         105
135,42              153,92                   67,71          21,552         49
136,74              138,32                   68,372         17,486         73
129,65              145,66                   64,825         20,208         40
141,44              178,52                   70,722         26,949         112
144,01              163,13                   72,007         22,782         81
159,51              210,09                   79,756         32,584         134
151,32              206,17                   75,661         32,627         47
159,66              211,05                   79,829         32,805         109
161,2               185,19                   80,6           26,147         86
158,3               169,19                   79,15          22,51          69
161,26              160,01                   80,631         19,845         91
152,6               170,47                   76,302         23,542         46
148,03              162,94                   74,015         22,232         58
157,03              181,19                   78,513         25,67          110
147,15              190,1                    73,574         29,131         39
148,75              168,2                    74,377         23,455         80
147,16              150,32                   73,58          19,185         68
140,01              156,14                   70,007         21,534         45
