RTO(Jacobson)       RTO(Jacobson/Karels)     RTTs           Desviación     M
186                 279                      93             46,5           93
188,25              242,63                   94,125         37,125         102
187,72              207,36                   93,859         28,375         92
189                 184,77                   94,502         22,566         99
189,63              165,01                   94,814         17,549         97
191,67              156,67                   95,837         15,208         103
193,97              151,77                   96,983         13,697         105
194,97              142,59                   97,485         11,277         101
195,85              135,27                   97,924         9,3366         101
196,37              128,27                   98,184         7,5213         100
196,82              122,79                   98,411         6,0951         100
198,22              122,98                   99,109         5,9686         104
199,44              122,52                   99,721         5,6991         104
200,01              119,38                   100,01         4,8441         102
200,51              116,78                   100,25         4,1317         102
201,95              119,11                   100,97         4,535          106
202,45              116,86                   101,23         3,908          103
202,15              114,02                   101,07         3,2376         100
201,13              114,35                   100,56         3,4465         97
200,24              114,02                   100,12         3,4759         97
201,71              117,16                   100,85         4,0773         106
201,49              113,83                   100,75         3,2714         100
203,06              117,6                    101,53         4,0168         107
201,43              119,29                   100,71         4,6447         95
200,75              117,02                   100,37         4,1617         98
201,65              116,94                   100,83         4,0279         104
200,45              117,13                   100,22         4,2276         96
199,89              114,85                   99,946         3,7266         98
200,15              112,31                   100,08         3,0586         101
199,64              111,07                   99,818         2,8132         98
200,18              110,71                   100,09         2,6555         102
201,41              113,58                   100,7          3,219          105
200,98              111,85                   100,49         2,8403         99
200,61              110,32                   100,3          2,503          99
200,28              108,96                   100,14         2,2034         99
201,5               112,22                   100,75         2,8672         105
199,31              117,01                   99,655         4,3376         92
199,4               113,06                   99,698         3,3394         100
199,97              112,31                   99,986         3,0799         102
200,73              112,62                   100,36         3,0634         103
200,13              111,62                   100,07         2,8883         98
200,87              112,03                   100,43         2,8993         103
201,51              112,02                   100,75         2,816          103
201,07              110,74                   100,54         2,5507         99
199,69              113,03                   99,844         3,2969         95
201,73              118,91                   100,86         4,5118         108
201,01              116,9                    100,51         4,0996         98
202,63              120,11                   101,32         4,6984         107
202,05              117,44                   101,03         4,1031         99
203,8               121,18                   101,9          4,8204         108
202,57              120,65                   101,29         4,8401         97
201,5               119,56                   100,75         4,7017         97
203,06              121,89                   101,53         5,0886         107
202,43              119,01                   101,22         4,4494         99
201,63              117,38                   100,81         4,1409         98
200,67              116,57                   100,34         4,0591         97
199,84              115,43                   99,92          3,8785         97
201,11              117,27                   100,55         4,179          105
200,72              114,45                   100,36         3,5229         99
200,13              112,99                   100,07         3,2323         98
199,36              112,44                   99,682         3,1906         97
199,69              110,74                   99,847         2,7224         101
198,48              112,26                   99,241         3,2535         95
197,67              111,84                   98,836         3,2504         96
199,21              115,52                   99,606         3,9788         105
199,81              114,24                   99,906         3,5825         102
200,33              113,01                   100,17         3,2105         102
200,79              111,86                   100,4          2,866          102
201,44              111,92                   100,72         2,8004         103
200,01              114,13                   100,01         3,5308         95
199,01              114,1                    99,506         3,6497         96
197,39              116,15                   98,693         4,3638         93
196,21              115,89                   98,106         4,446          94
195,69              113,29                   97,843         3,861          96
197,72              118,6                    98,862         4,9351         106
198,01              114,95                   99,005         3,9857         100
197,26              113,59                   98,629         3,7404         96
197,85              112,52                   98,925         3,398          101
198,87              113,7                    99,435         3,5672         103
198,01              113,14                   99,005         3,5341         96
198,01              109,61                   99,005         2,6519         99
198,51              109,21                   99,254         2,4877         101
197,19              111,31                   98,597         3,1793         94
195,8               113,03                   97,898         3,7839         93
197,07              114,99                   98,535         4,1135         103
197,69              113,65                   98,844         3,7012         101
196,23              115,06                   98,113         4,2368         93
195,95              111,8                    97,974         3,4559         97
196,7               111,75                   98,352         3,3484         101
196,62              108,71                   98,308         2,5994         98
198,29              113,63                   99,145         3,6225         105
197,5               112,76                   98,752         3,503          96
197,57              109,54                   98,783         2,6894         99
197,12              108,41                   98,56          2,4627         97
199,23              115,44                   99,615         3,9571         107
198,33              114,65                   99,163         3,8715         96
199,54              116,22                   99,768         4,1129         104
198,84              114,53                   99,422         3,7766         97
199,74              114,78                   99,869         3,727          103
199,52              111,81                   99,76          3,0125         99
186,33              154,96                   93,165         15,449         47
177,04              172,03                   88,52          20,878         56
166,91              186,61                   83,455         25,789         48
158,3               190,97                   79,148         27,955         49
152,01              185,02                   76,004         27,253         54
146,01              178,77                   73,004         26,441         52
142,01              166,33                   71,003         23,832         57
135,01              167                      67,503         24,875         43
131,88              153,07                   65,94          21,782         55
126,4               150,48                   63,198         21,821         44
122,6               141,96                   61,298         20,165         48
119,27              133,43                   59,636         18,448         48
116,36              125,16                   58,181         16,745         48
113,07              119,95                   56,534         15,854         45
111,68              108,94                   55,842         13,274         51
109,97              101,65                   54,987         11,666         49
108,48              95,223                   54,238         10,246         49
107,92              86,935                   53,958         8,2442         52
105,43              87,405                   52,714         8,6728         44
104,5               81,981                   52,249         7,433          49
104,44              74,767                   52,218         5,6371         52
105,88              75,634                   52,941         5,6733         58
105,9               70,027                   52,948         4,2697         53
105,16              68,337                   52,58          3,9394         50
106,01              68,246                   53,007         3,8096         56
105,76              65,317                   52,881         3,109          52
104,54              66,48                    52,271         3,5521         48
104,22              64,04                    52,112         2,9819         51
105,2               65,432                   52,598         3,2083         56
103,55              67,997                   51,774         4,0558         46
103,35              64,618                   51,677         3,2353         51
103,18              61,975                   51,592         2,5956         51
104,29              64,338                   52,143         3,0487         56
101,75              70,165                   50,875         4,8223         42
100,53              69,608                   50,266         4,8356         46
100,47              65,005                   50,233         3,6931         50
101,66              66,675                   50,829         3,9617         55
102,7               67,407                   51,35          4,0141         55
101,86              66,324                   50,931         3,8481         48
101,38              64,165                   50,69          3,3689         49
99,957              65,775                   49,979         3,9491         45
100,96              66,35                    50,481         3,9672         54
101,34              64,091                   50,671         3,3551         52
100,67              63,074                   50,337         3,1841         48
100,34              61,06                    50,17          2,7224         49
100,55              59,271                   50,274         2,2493         51
98,729              63,386                   49,365         3,5054         43
99,138              61,721                   49,569         3,0379         51
100,25              63,668                   50,123         3,3862         54
100,72              62,393                   50,358         3,0089         52
100,38              60,572                   50,188         2,5961         49
100,58              58,89                    50,289         2,1501         51
99,506              60,493                   49,753         2,6849         46
99,568              58,086                   49,784         2,0754         50
98,622              59,321                   49,311         2,5025         46
98,044              58,841                   49,022         2,4547         47
99,789              64,236                   49,894         3,5855         56
100,07              61,895                   50,033         2,9655         51
99,807              59,833                   49,904         2,4823         49
102,08              67,584                   51,041         4,1358         59
102,82              66,777                   51,411         3,8417         54
102,72              63,295                   51,359         2,9839         51
102,38              61,5                     51,189         2,5777         50
101,58              61,713                   50,791         2,7306         48
103,38              67,093                   51,692         3,8503         58
103,46              63,589                   51,73          2,9648         52
103,28              61,264                   51,639         2,4062         51
101,12              66,417                   50,559         3,9644         43
101,23              62,948                   50,614         3,0835         51
102,82              67,049                   51,412         3,9091         57
102,72              63,501                   51,361         3,0349         51
103,13              62,31                    51,566         2,686          53
102,49              61,869                   51,245         2,6559         49
100,93              64,677                   50,464         3,5532         45
100,31              63,28                    50,156         3,281          48
99,024              64,511                   49,512         3,7499         45
99,646              63,561                   49,823         3,4344         52
100,19              62,575                   50,095         3,1201         52
101,17              63,848                   50,583         3,3163         54
99,77               65,417                   49,885         3,883          45
101,55              69,538                   50,775         4,691          57
102,11              67,351                   51,053         4,0746         53
102,59              65,467                   51,296         3,5427         53
100,77              68,309                   50,384         4,4811         44
100,42              65,039                   50,211         3,7069         49
100,62              62,219                   50,31          2,9774         51
101,29              62,268                   50,646         2,9056         53
100,88              60,803                   50,44          2,5907         49
101,02              58,842                   50,51          2,083          51
101,14              57,31                    50,571         1,6847         51
100,25              58,75                    50,125         2,1564         47
100,22              56,703                   50,109         1,6485         50
100,69              57,182                   50,346         1,709          52
100,11              57,525                   50,053         1,8682         48
101,34              61,223                   50,671         2,638          55
102,17              62,33                    51,087         2,8108         54
102,9               62,796                   51,451         2,8363         54
103,04              60,578                   51,52          2,2644         52
104,16              63,353                   52,08          2,8184         56
104,14              60,605                   52,07          2,1337         52
