RTO(Jacobson)       RTO(Jacobson/Karels)     RTTs           Desviación     M
78                  117                      39             19,5           39
77,5                99,25                    38,75          15,125         37
80,563              97,906                   40,281         14,406         51
78,992              88,996                   39,496         12,375         34
79,618              79,438                   39,809         9,9072         42
84,416              91,121                   42,208         12,228         59
86,864              89,908                   43,432         11,619         52
87,506              81,178                   43,753         9,3564         46
85,318              79,481                   42,659         9,2055         35
86,153              74,034                   43,076         7,7394         46
86,134              66,362                   43,067         5,8237         43
85,617              62,347                   42,809         4,8845         41
83,915              63,42                    41,957         5,3655         36
85,426              64,852                   42,713         5,5348         48
86,497              64,14                    43,249         5,2229         47
89,185              71,013                   44,593         6,605          54
86,537              73,676                   43,269         7,6019         34
88,97               77,022                   44,485         8,1343         53
90,599              76,217                   45,299         7,7295         51
93,524              81,651                   46,762         8,7223         57
94,583              77,697                   47,292         7,6012         51
96,26               77,642                   48,13          7,378          54
97,478              75,743                   48,739         6,7509         53
101,79              88,41                    50,897         9,3785         66
104,32              90,398                   52,16          9,5597         61
106,28              89,659                   53,14          9,1299         60
105,49              83,276                   52,747         7,6323         50
102,81              85,048                   51,404         8,411          42
98,457              91,865                   49,228         10,659         34
95,899              90,156                   47,95          10,551         39
97,162              85,286                   48,581         9,1762         53
96,017              80,118                   48,008         8,0274         44
93,265              81,723                   46,632         8,7726         37
91,107              80,504                   45,553         8,7376         38
92,218              76,769                   46,109         7,6648         50
93,941              76,856                   46,97          7,4713         53
95,448              76,168                   47,724         7,1109         53
92,767              78,441                   46,384         8,0142         37
89,421              82,137                   44,711         9,3566         33
94,244              94,481                   47,122         11,84          64
92,963              87,123                   46,482         10,16          42
91,593              81,759                   45,796         8,9906         41
93,894              83,122                   46,947         9,0439         55
96,407              85,388                   48,204         9,2962         57
93,356              86,77                    46,678         10,023         36
94,937              83,859                   47,468         9,0977         53
92,82               82,171                   46,41          8,9404         39
93,467              76,145                   46,734         7,3528         49
93,284              69,434                   46,642         5,698          46
94,373              68,639                   47,187         5,3631         51
93,577              66,064                   46,788         4,8189         44
96,38               73,858                   48,19          6,4171         58
95,582              70,232                   47,791         5,6103         45
97,884              74,982                   48,942         6,51           57
95,149              78,046                   47,574         7,618          38
95,755              73,157                   47,878         6,3199         50
96,286              69,225                   48,143         5,2705         50
94                  71,955                   47             6,2386         39
92,25               71,841                   46,125         6,429          40
91,469              68,146                   45,734         5,603          43
93,535              71,842                   46,768         6,2686         54
94,093              68,085                   47,047         5,2596         49
95,332              68,398                   47,666         5,183          52
96,915              70,341                   48,458         5,4708         54
98,801              73,355                   49,4           5,9887         56
98,451              68,592                   49,225         4,8416         48
101,14              75,872                   50,572         6,3249         60
98,251              79,672                   49,126         7,6367         39
99,47               77,519                   49,735         6,9461         54
99,536              70,871                   49,768         5,2759         50
97,094              74,143                   48,547         6,3989         40
96,457              69,972                   48,229         5,4359         46
