RTO(Jacobson)       RTO(Jacobson/Karels)     RTTs           Desviación     M
100                 150                      50             25             50
100,5               127,25                   50,25          19,25          52
100,69              108,84                   50,344         14,625         51
100,6               94,52                    50,301         11,055         50
100,28              84,603                   50,138         8,6162         49
100,49              76,956                   50,246         6,6776         51
100,93              72,252                   50,465         5,4467         52
100,81              67,212                   50,407         4,2013         50
100,46              64,242                   50,231         3,5028         49
100,4               60,942                   50,202         2,6849         50
100,6               59,154                   50,302         2,2131         51
100,03              58,955                   50,014         2,2353         48
100,52              58,954                   50,262         2,1729         52
99,959              58,761                   49,98          2,1953         48
99,714              57,423                   49,857         1,8914         49
99,75               55,692                   49,875         1,4542         50
99,531              55,003                   49,766         1,3094         49
99,59               53,958                   49,795         1,0407         50
99,641              53,148                   49,821         0,83176        50
99,686              52,518                   49,843         0,66868        50
99,975              53,151                   49,988         0,79076        51
99,728              53,224                   49,864         0,83997        49
99,512              53,14                    49,756         0,84603        49
99,823              53,694                   49,912         0,94548        51
99,845              52,847                   49,923         0,7312         50
99,865              52,203                   49,932         0,56773        50
99,382              53,326                   49,691         0,90888        48
99,209              53,022                   49,604         0,85436        49
98,808              53,571                   49,404         1,0419         48
99,457              55,45                    49,728         1,4304         52
99,775              55,45                    49,887         1,3907         51
99,553              54,836                   49,776         1,2649         49
99,859              54,948                   49,929         1,2546         51
100,38              56,022                   50,188         1,4586         52
100,08              55,604                   50,04          1,391          49
100,32              55,293                   50,16          1,2833         51
100,53              54,955                   50,265         1,1726         51
100,46              54,014                   50,232         0,94561        50
99,905              55,021                   49,953         1,2671         48
99,417              55,463                   49,709         1,4385         48
99,49               54,352                   49,745         1,1517         50
99,054              54,727                   49,527         1,3001         48
99,422              55,084                   49,711         1,3433         51
99,744              55,191                   49,872         1,3297         51
100,03              55,13                    50,013         1,2793         51
99,523              55,612                   49,762         1,4627         48
99,083              55,691                   49,541         1,5374         48
98,697              55,502                   49,349         1,5384         48
99,11               55,822                   49,555         1,5666         51
99,221              54,756                   49,611         1,2862         50
99,319              53,907                   49,659         1,062          50
99,404              53,229                   49,702         0,88165        50
99,478              52,682                   49,739         0,73576        50
99,044              53,468                   49,522         0,98661        48
99,413              54,145                   49,707         1,1095         51
98,986              54,528                   49,493         1,2588         48
99,363              54,965                   49,682         1,3208         51
99,443              54,002                   49,721         1,0702         50
99,512              53,245                   49,756         0,87229        50
99,573              52,647                   49,787         0,71516        50
100,13              54,422                   50,063         1,0897         52
100,61              55,511                   50,305         1,3014         52
101,03              56,116                   50,517         1,3997         52
100,91              55,169                   50,453         1,1791         50
100,79              54,386                   50,396         0,99748        50
100,94              54,068                   50,472         0,8991         51
100,33              55,331                   50,163         1,2922         48
100,53              54,981                   50,267         1,1785         51
100,72              54,627                   50,359         1,0671         51
100,88              54,281                   50,439         0,96059        51
101,02              53,952                   50,509         0,86069        51
101,39              54,768                   50,695         1,0182         52
101,22              54,359                   50,609         0,93755        50
101,31              53,862                   50,657         0,80103        51
101,4               53,446                   50,7           0,6864         51
101,73              54,222                   50,863         0,83973        52
101,51              54,137                   50,755         0,84548        50
101,32              53,952                   50,661         0,82284        50
100,91              54,582                   50,453         1,0323         49
100,54              54,821                   50,271         1,1374         49
100,72              54,503                   50,362         1,0352         51
100,38              54,66                    50,192         1,117          49
100,84              55,577                   50,418         1,2897         52
100,73              54,653                   50,366         1,0718         50
100,14              55,651                   50,07          1,3953         48
100,62              56,427                   50,311         1,529          52
100,04              56,921                   50,022         1,7246         48
100,04              55,216                   50,02          1,299          50
100,28              55,02                    50,142         1,2194         51
100,5               54,765                   50,249         1,129          51
100,44              53,855                   50,218         0,90909        50
100,38              53,136                   50,191         0,73637        50
100,33              52,567                   50,167         0,60002        50
100,04              52,988                   50,021         0,74178        49
100,29              53,348                   50,144         0,80104        51
100                 53,547                   50,001         0,88667        49
99,501              54,411                   49,751         1,1652         48
99,563              53,527                   49,782         0,93623        50
99,618              52,836                   49,809         0,75675        50
99,666              52,294                   49,833         0,61531        50
99,458              52,408                   49,729         0,6697         49
99,525              52,043                   49,763         0,57008        50
99,335              52,14                    49,667         0,61823        49
99,918              54,146                   49,959         1,0468         52
99,928              53,146                   49,964         0,7954         50
100,44              54,641                   50,219         1,1055         52
100,88              55,539                   50,441         1,2745         52
100,77              54,651                   50,386         1,0662         50
100,93              54,275                   50,463         0,95313        51
101,31              55,052                   50,655         1,0991         52
101,15              54,525                   50,573         0,9881         50
101                 54,039                   50,501         0,88435        50
100,88              53,593                   50,439         0,78862        50
101,02              53,436                   50,509         0,73177        51
100,64              54,025                   50,32          0,92606        49
100,06              55,129                   50,03          1,2746         48
100,55              56,07                    50,276         1,4484         52
100,48              54,864                   50,242         1,1554         50
100,17              54,795                   50,087         1,177          49
100,15              53,694                   50,076         0,90446        50
99,883              53,731                   49,941         0,94731        49
99,897              52,849                   49,949         0,72514        50
100,16              53,307                   50,08          0,80668        51
99,64               54,32                    49,82          1,125          48
99,935              54,523                   49,968         1,1388         51
99,443              55,105                   49,722         1,346          48
99,513              54,073                   49,756         1,0791         50
99,574              53,268                   49,787         0,87019        50
99,877              53,762                   49,939         0,95592        51
99,892              52,875                   49,946         0,73231        50
99,656              52,971                   49,828         0,78578        49
99,699              52,379                   49,849         0,63236        50
99,487              52,49                    49,743         0,68663        49
99,551              52,092                   49,775         0,57916        50
99,607              51,766                   49,803         0,49053        50
99,156              52,853                   49,578         0,81875        48
99,262              52,509                   49,631         0,71957        50
99,354              52,205                   49,677         0,63199        50
99,435              51,936                   49,717         0,55476        50
99,505              51,7                     49,753         0,48675        50
99,817              52,616                   49,909         0,6769         51
99,84               52,042                   49,92          0,53054        50
99,61               52,317                   49,805         0,6279         49
99,659              51,908                   49,829         0,51968        50
100,2               53,83                    50,101         0,93242        52
100,43              53,91                    50,213         0,92414        51
100,62              53,871                   50,311         0,88983        51
100,55              53,253                   50,273         0,74524        50
100,48              52,747                   50,238         0,62706        50
100,92              54,101                   50,459         0,91068        52
101,3               54,925                   50,651         1,0683         52
101,39              54,249                   50,695         0,88843        51
100,97              54,843                   50,483         1,09           49
100,85              54,176                   50,423         0,9383         50
100,74              53,607                   50,37          0,80939        50
100,65              53,122                   50,324         0,6995         50
100,57              52,705                   50,283         0,60553        50
100,25              53,222                   50,123         0,77493        49
100,46              53,434                   50,232         0,80051        51
100,41              52,837                   50,203         0,65849        50
100,61              53,075                   50,303         0,69302        51
100,53              52,647                   50,265         0,5955         50
100,46              52,284                   50,232         0,5129         50
99,906              53,724                   49,953         0,94266        48
100,17              53,959                   50,084         0,96876        51
100,65              55,146                   50,323         1,2056         52
100,07              55,973                   50,033         1,485          48
100,06              54,517                   50,029         1,122          50
99,55               55,17                    49,775         1,3487         48
99,357              54,5                     49,678         1,2053         49
99,687              54,781                   49,844         1,2344         51
99,476              54,285                   49,738         1,1367         49
99,292              53,794                   49,646         1,037          49
99,38               53,155                   49,69          0,86633        50
99,708              53,763                   49,854         0,97722        51
99,494              53,533                   49,747         0,94638        49
100,06              55,121                   50,029         1,273          52
99,55               55,623                   49,775         1,4619         48
99,356              54,839                   49,678         1,2902         49
99,687              55,036                   49,843         1,2981         51
99,976              55,039                   49,988         1,2627         51
99,979              53,79                    49,99          0,95004        50
100,23              53,976                   50,116         0,96515        51
100,7               55,131                   50,351         1,1949         52
100,36              55,118                   50,182         1,234          49
100,57              54,804                   50,285         1,1299         51
100,25              54,798                   50,124         1,1686         49
100,47              54,615                   50,234         1,0954         51
100,66              54,382                   50,329         1,0132         51
